Mod:Item:MetaData, Localized Name
chisel:glasspanedyedgray:3, Gray Stained Glass Pane
chisel:glasspanedyedgray:4, Gray Stained Glass Pane
chisel:glasspanedyedgray:5, Gray Stained Glass Pane
chisel:glassdyedpink:0, Verre teinté rose
chisel:glassdyedpink:1, Verre teinté rose
chisel:glassdyedpink:2, Verre teinté rose
chisel:glassdyedpink:3, Verre teinté rose
chisel:glassdyedpink:4, Verre teinté rose
chisel:glassdyedpink:5, Verre teinté rose
chisel:glasspanedyedpink:0, Pink Stained Glass Pane
chisel:glasspanedyedpink:1, Pink Stained Glass Pane
chisel:glasspanedyedpink:2, Pink Stained Glass Pane
chisel:glasspanedyedpink:3, Pink Stained Glass Pane
chisel:glasspanedyedpink:4, Pink Stained Glass Pane
chisel:glasspanedyedpink:5, Pink Stained Glass Pane
chisel:glassdyedlime:0, Verre teinté vert clair
chisel:glassdyedlime:1, Verre teinté vert clair
chisel:glassdyedlime:2, Verre teinté vert clair
chisel:glassdyedlime:3, Verre teinté vert clair
chisel:glassdyedlime:4, Verre teinté vert clair
chisel:glassdyedlime:5, Verre teinté vert clair
chisel:glasspanedyedlime:0, Lime Stained Glass Pane
chisel:glasspanedyedlime:1, Lime Stained Glass Pane
chisel:glasspanedyedlime:2, Lime Stained Glass Pane
chisel:glasspanedyedlime:3, Lime Stained Glass Pane
chisel:glasspanedyedlime:4, Lime Stained Glass Pane
chisel:glasspanedyedlime:5, Lime Stained Glass Pane
chisel:glassdyedyellow:0, Verre teinté jaune
chisel:glassdyedyellow:1, Verre teinté jaune
chisel:glassdyedyellow:2, Verre teinté jaune
chisel:glassdyedyellow:3, Verre teinté jaune
chisel:glassdyedyellow:4, Verre teinté jaune
chisel:glassdyedyellow:5, Verre teinté jaune
chisel:glasspanedyedyellow:0, Yellow Stained Glass Pane
chisel:glasspanedyedyellow:1, Yellow Stained Glass Pane
chisel:glasspanedyedyellow:2, Yellow Stained Glass Pane
chisel:glasspanedyedyellow:3, Yellow Stained Glass Pane
chisel:glasspanedyedyellow:4, Yellow Stained Glass Pane
chisel:glasspanedyedyellow:5, Yellow Stained Glass Pane
chisel:glassdyedlightblue:0, Verre teinté bleu clair
chisel:glassdyedlightblue:1, Verre teinté bleu clair
chisel:glassdyedlightblue:2, Verre teinté bleu clair
chisel:glassdyedlightblue:3, Verre teinté bleu clair
chisel:glassdyedlightblue:4, Verre teinté bleu clair
chisel:glassdyedlightblue:5, Verre teinté bleu clair
chisel:glasspanedyedlightblue:0, Light Blue Stained Glass Pane
chisel:glasspanedyedlightblue:1, Light Blue Stained Glass Pane
chisel:glasspanedyedlightblue:2, Light Blue Stained Glass Pane
chisel:glasspanedyedlightblue:3, Light Blue Stained Glass Pane
chisel:glasspanedyedlightblue:4, Light Blue Stained Glass Pane
chisel:glasspanedyedlightblue:5, Light Blue Stained Glass Pane
chisel:glassdyedmagenta:0, Verre teinté magenta
chisel:glassdyedmagenta:1, Verre teinté magenta
chisel:glassdyedmagenta:2, Verre teinté magenta
chisel:glassdyedmagenta:3, Verre teinté magenta
chisel:glassdyedmagenta:4, Verre teinté magenta
chisel:glassdyedmagenta:5, Verre teinté magenta
chisel:glasspanedyedmagenta:0, Magenta Stained Glass Pane
chisel:glasspanedyedmagenta:1, Magenta Stained Glass Pane
chisel:glasspanedyedmagenta:2, Magenta Stained Glass Pane
chisel:glasspanedyedmagenta:3, Magenta Stained Glass Pane
chisel:glasspanedyedmagenta:4, Magenta Stained Glass Pane
chisel:glasspanedyedmagenta:5, Magenta Stained Glass Pane
chisel:glassdyedorange:0, Verre teinté orange
chisel:glassdyedorange:1, Verre teinté orange
chisel:glassdyedorange:2, Verre teinté orange
chisel:glassdyedorange:3, Verre teinté orange
chisel:glassdyedorange:4, Verre teinté orange
chisel:glassdyedorange:5, Verre teinté orange
chisel:glasspanedyedorange:0, Orange Stained Glass Pane
chisel:glasspanedyedorange:1, Orange Stained Glass Pane
chisel:glasspanedyedorange:2, Orange Stained Glass Pane
chisel:glasspanedyedorange:3, Orange Stained Glass Pane
chisel:glasspanedyedorange:4, Orange Stained Glass Pane
chisel:glasspanedyedorange:5, Orange Stained Glass Pane
chisel:glassdyedwhite:0, Verre teinté blanc
chisel:glassdyedwhite:1, Verre teinté blanc
chisel:glassdyedwhite:2, Verre teinté blanc
chisel:glassdyedwhite:3, Verre teinté blanc
chisel:glassdyedwhite:4, Verre teinté blanc
chisel:glassdyedwhite:5, Verre teinté blanc
chisel:glasspanedyedwhite:0, White Stained Glass Pane
chisel:glasspanedyedwhite:1, White Stained Glass Pane
chisel:glasspanedyedwhite:2, White Stained Glass Pane
chisel:glasspanedyedwhite:3, White Stained Glass Pane
chisel:glasspanedyedwhite:4, White Stained Glass Pane
chisel:glasspanedyedwhite:5, White Stained Glass Pane
chisel:glowstone:0, Pierre lumineuse
chisel:glowstone:1, Pierre lumineuse
chisel:glowstone:2, Pierre lumineuse
chisel:glowstone:3, Pierre lumineuse
chisel:glowstone:4, Pierre lumineuse
chisel:glowstone:5, Pierre lumineuse
chisel:glowstone:6, Pierre lumineuse
chisel:glowstone:7, Pierre lumineuse
chisel:glowstone:8, Pierre lumineuse
chisel:glowstone:9, Pierre lumineuse
chisel:glowstone:10, Pierre lumineuse
chisel:glowstone:11, Pierre lumineuse
chisel:glowstone:12, Pierre lumineuse
chisel:glowstone:13, Pierre lumineuse
chisel:glowstone:14, Pierre lumineuse
chisel:glowstone:15, Pierre lumineuse
chisel:glowstone1:0, Pierre lumineuse
chisel:glowstone1:1, Pierre lumineuse
chisel:glowstone1:2, Pierre lumineuse
chisel:glowstone1:3, Pierre lumineuse
chisel:glowstone1:4, Pierre lumineuse
chisel:glowstone1:5, Pierre lumineuse
chisel:glowstone1:6, Pierre lumineuse
chisel:glowstone1:7, Pierre lumineuse
chisel:glowstone1:8, Pierre lumineuse
chisel:glowstone1:9, Pierre lumineuse
chisel:glowstone1:10, Pierre lumineuse
chisel:glowstone1:11, Pierre lumineuse
chisel:glowstone1:12, Pierre lumineuse
chisel:glowstone1:13, Pierre lumineuse
chisel:glowstone1:14, Pierre lumineuse
chisel:glowstone1:15, Pierre lumineuse
chisel:glowstone2:0, Pierre lumineuse
chisel:blockgold:0, Bloc d'or
chisel:blockgold:1, Bloc d'or
chisel:blockgold:2, Bloc d'or
chisel:blockgold:3, Bloc d'or
chisel:blockgold:4, Bloc d'or
chisel:blockgold:5, Bloc d'or
chisel:blockgold:6, Bloc d'or
chisel:gold:0, Bloc d'or
chisel:gold:1, Bloc d'or
chisel:gold:2, Bloc d'or
chisel:gold:3, Bloc d'or
chisel:gold:4, Bloc d'or
chisel:gold:5, Bloc d'or
chisel:gold:6, Bloc d'or
chisel:gold:7, Bloc d'or
chisel:gold:8, Bloc d'or
chisel:gold:9, Bloc d'or
chisel:gold:10, Bloc d'or
chisel:gold:11, Bloc d'or
chisel:gold:12, Bloc d'or
chisel:gold:13, Bloc d'or
chisel:granite:0, Granite
chisel:granite:1, Granite
chisel:granite:2, Granite
chisel:granite:3, Granite
chisel:granite:4, Granite
chisel:granite:5, Granite
chisel:granite:6, Granite
chisel:granite:7, Granite
chisel:granite:8, Granite
chisel:granite:9, Granite
chisel:granite:10, Granite
chisel:granite:11, Granite
chisel:granite:12, Granite
chisel:granite:13, Granite
chisel:granite:14, Granite
chisel:granite:15, Granite
chisel:granite1:0, Granite
chisel:granite1:1, Granite
chisel:granite1:2, Granite
chisel:granite1:3, Granite
chisel:granite1:4, Granite
chisel:granite1:5, Granite
chisel:granite1:6, Granite
chisel:granite1:7, Granite
chisel:granite1:8, Granite
chisel:granite1:9, Granite
chisel:granite1:10, Granite
chisel:granite1:11, Granite
chisel:granite1:12, Granite
chisel:granite1:13, Granite
chisel:granite1:14, Granite
chisel:granite1:15, Granite
chisel:granite2:0, Granite
chisel:hardenedclay:0, Argile durcie
chisel:hardenedclay:1, Argile durcie
chisel:hardenedclay:2, Argile durcie
chisel:hardenedclay:3, Argile durcie
chisel:hardenedclay:4, Argile durcie
chisel:hardenedclay:5, Argile durcie
chisel:hardenedclay:6, Argile durcie
chisel:hardenedclay:7, Argile durcie
chisel:hardenedclay:8, Argile durcie
chisel:hardenedclay:9, Argile durcie
chisel:hardenedclay:10, Argile durcie
chisel:hardenedclay:11, Argile durcie
chisel:hardenedclay:12, Argile durcie
chisel:hardenedclay:13, Argile durcie
chisel:hardenedclay:14, Argile durcie
chisel:hardenedclay:15, Argile durcie
chisel:hardenedclay1:0, Argile durcie
chisel:hardenedclay1:1, Argile durcie
chisel:hardenedclay1:2, Argile durcie
chisel:hardenedclay1:3, Argile durcie
chisel:hardenedclay1:4, Argile durcie
chisel:hardenedclay1:5, Argile durcie
chisel:hardenedclay1:6, Argile durcie
chisel:hardenedclay1:7, Argile durcie
chisel:hardenedclay1:8, Argile durcie
chisel:hardenedclay1:9, Argile durcie
chisel:hardenedclay2:0, Argile durcie
chisel:hardenedclay2:1, Argile durcie
chisel:hardenedclay2:2, Argile durcie
chisel:hardenedclay2:3, Argile durcie
chisel:hardenedclay2:4, Argile durcie
chisel:hardenedclay2:5, Argile durcie
chisel:hardenedclay2:6, Argile durcie
chisel:ice:0, Glace
chisel:ice:1, Glace
chisel:ice:2, Glace
chisel:ice:3, Glace
chisel:ice:4, Glace
chisel:ice:5, Glace
chisel:ice:6, Glace
chisel:ice:7, Glace
chisel:ice:8, Glace
chisel:ice:9, Glace
chisel:ice:10, Glace
chisel:ice:11, Glace
chisel:ice:12, Glace
chisel:ice:13, Glace
chisel:ice:14, Glace
chisel:ice:15, Glace
chisel:ice1:0, Glace
chisel:ice1:1, Glace
chisel:ice1:2, Glace
chisel:ice1:3, Glace
chisel:ice1:4, Glace
chisel:ice1:5, Glace
chisel:ice1:6, Glace
chisel:ice1:7, Glace
chisel:ice1:8, Glace
chisel:ice1:9, Glace
chisel:ice1:10, Glace
chisel:ice1:11, Glace
chisel:ice1:12, Glace
chisel:ice1:13, Glace
chisel:ice1:14, Glace
chisel:ice1:15, Glace
chisel:ice2:0, Glace
chisel:icepillar:0, Pilier de glace
chisel:icepillar:1, Pilier de glace
chisel:icepillar:2, Pilier de glace
chisel:icepillar:3, Pilier de glace
chisel:icepillar:4, Pilier de glace
chisel:icepillar:5, Pilier de glace
chisel:icepillar:6, Pilier de glace
chisel:blockinvar:0, Bloc d'invar
chisel:blockinvar:1, Bloc d'invar
chisel:blockinvar:2, Bloc d'invar
chisel:blockinvar:3, Bloc d'invar
chisel:blockinvar:4, Bloc d'invar
chisel:blockinvar:5, Bloc d'invar
chisel:blockinvar:6, Bloc d'invar
chisel:blockiron:0, Bloc de fer
chisel:blockiron:1, Bloc de fer
chisel:blockiron:2, Bloc de fer
chisel:blockiron:3, Bloc de fer
chisel:blockiron:4, Bloc de fer
chisel:blockiron:5, Bloc de fer
chisel:blockiron:6, Bloc de fer
chisel:iron:0, Bloc de fer
chisel:iron:1, Bloc de fer
chisel:iron:2, Bloc de fer
chisel:iron:3, Bloc de fer
chisel:iron:4, Bloc de fer
chisel:iron:5, Bloc de fer
chisel:iron:6, Bloc de fer
chisel:iron:7, Bloc de fer
chisel:iron:8, Bloc de fer
chisel:iron:9, Bloc de fer
chisel:iron:10, Bloc de fer
chisel:iron:11, Bloc de fer
chisel:iron:12, Bloc de fer
chisel:iron:13, Bloc de fer
chisel:iron:14, Bloc de fer
chisel:ironpane:0, Barreaux en fer
chisel:ironpane:1, Barreaux en fer
chisel:ironpane:2, Barreaux en fer
chisel:ironpane:3, Barreaux en fer
chisel:ironpane:4, Barreaux en fer
chisel:ironpane:5, Barreaux en fer
chisel:ironpane:6, Barreaux en fer
chisel:ironpane:7, Barreaux en fer
chisel:ironpane:8, Barreaux en fer
chisel:ironpane:9, Barreaux en fer
chisel:ironpane:10, Barreaux en fer
chisel:ironpane:11, Barreaux en fer
chisel:ironpane:12, Barreaux en fer
chisel:laboratory:0, Bloc de laboratoire
chisel:laboratory:1, Bloc de laboratoire
chisel:laboratory:2, Bloc de laboratoire
chisel:laboratory:3, Bloc de laboratoire
chisel:laboratory:4, Bloc de laboratoire
chisel:laboratory:5, Bloc de laboratoire
chisel:laboratory:6, Bloc de laboratoire
chisel:laboratory:7, Bloc de laboratoire
chisel:laboratory:8, Bloc de laboratoire
chisel:laboratory:9, Bloc de laboratoire
chisel:laboratory:10, Bloc de laboratoire
chisel:laboratory:11, Bloc de laboratoire
chisel:laboratory:12, Bloc de laboratoire
chisel:laboratory:13, Bloc de laboratoire
chisel:laboratory:14, Bloc de laboratoire
chisel:laboratory:15, Bloc de laboratoire
chisel:lapis:0, Bloc de lapis-lazuli
chisel:lapis:1, Bloc de lapis-lazuli
chisel:lapis:2, Bloc de lapis-lazuli
chisel:lapis:3, Bloc de lapis-lazuli
chisel:lapis:4, Bloc de lapis-lazuli
chisel:lapis:5, Bloc de lapis-lazuli
chisel:lapis:6, Bloc de lapis-lazuli
chisel:lapis:7, Bloc de lapis-lazuli
chisel:lapis:8, Bloc de lapis-lazuli
chisel:lavastone:0, Pierre de lave
chisel:lavastone:1, Pierre de lave
chisel:lavastone:2, Pierre de lave
chisel:lavastone:3, Pierre de lave
chisel:lavastone:4, Pierre de lave
chisel:lavastone:5, Pierre de lave
chisel:lavastone:6, Pierre de lave
chisel:lavastone:7, Pierre de lave
chisel:lavastone:8, Pierre de lave
chisel:lavastone:9, Pierre de lave
chisel:lavastone:10, Pierre de lave
chisel:lavastone:11, Pierre de lave
chisel:lavastone:12, Pierre de lave
chisel:lavastone:13, Pierre de lave
chisel:lavastone:14, Pierre de lave
chisel:lavastone:15, Pierre de lave
chisel:lavastone1:0, Pierre de lave
chisel:lavastone1:1, Pierre de lave
chisel:lavastone1:2, Pierre de lave
chisel:lavastone1:3, Pierre de lave
chisel:lavastone1:4, Pierre de lave
chisel:lavastone1:5, Pierre de lave
chisel:lavastone1:6, Pierre de lave
chisel:lavastone1:7, Pierre de lave
chisel:lavastone1:8, Pierre de lave
chisel:lavastone1:9, Pierre de lave
chisel:lavastone1:10, Pierre de lave
chisel:lavastone1:11, Pierre de lave
chisel:lavastone1:12, Pierre de lave
chisel:lavastone1:13, Pierre de lave
chisel:lavastone1:14, Pierre de lave
chisel:lavastone1:15, Pierre de lave
chisel:lavastone2:0, Pierre de lave
chisel:blocklead:0, Bloc de plomb
chisel:blocklead:1, Bloc de plomb
chisel:blocklead:2, Bloc de plomb
chisel:blocklead:3, Bloc de plomb
chisel:blocklead:4, Bloc de plomb
chisel:blocklead:5, Bloc de plomb
chisel:blocklead:6, Bloc de plomb
chisel:limestone:0, Calcaire
chisel:limestone:1, Calcaire
chisel:limestone:2, Calcaire
chisel:limestone:3, Calcaire
chisel:limestone:4, Calcaire
chisel:limestone:5, Calcaire
chisel:limestone:6, Calcaire
chisel:limestone:7, Calcaire
chisel:limestone:8, Calcaire
chisel:limestone:9, Calcaire
chisel:limestone:10, Calcaire
chisel:limestone:11, Calcaire
chisel:limestone:12, Calcaire
chisel:limestone:13, Calcaire
chisel:limestone:14, Calcaire
chisel:limestone:15, Calcaire
chisel:limestone1:0, Calcaire
chisel:limestone1:1, Calcaire
chisel:limestone1:2, Calcaire
chisel:limestone1:3, Calcaire
chisel:limestone1:4, Calcaire
chisel:limestone1:5, Calcaire
chisel:limestone1:6, Calcaire
chisel:limestone1:7, Calcaire
chisel:limestone1:8, Calcaire
chisel:limestone1:9, Calcaire
chisel:limestone2:0, Calcaire
chisel:limestone2:1, Calcaire
chisel:limestone2:2, Calcaire
chisel:limestone2:3, Calcaire
chisel:limestone2:4, Calcaire
chisel:limestone2:5, Calcaire
chisel:limestone2:6, Calcaire
chisel:limestone2:7, Calcaire
chisel:marble:0, Marbre
chisel:marble:1, Marbre
chisel:marble:2, Marbre
chisel:marble:3, Marbre
chisel:marble:4, Marbre
chisel:marble:5, Marbre
chisel:marble:6, Marbre
chisel:marble:7, Marbre
chisel:marble:8, Marbre
chisel:marble:9, Marbre
chisel:marble:10, Marbre
chisel:marble:11, Marbre
chisel:marble:12, Marbre
chisel:marble:13, Marbre
chisel:marble:14, Marbre
chisel:marble:15, Marbre
chisel:marble1:0, Marbre
chisel:marble1:1, Marbre
chisel:marble1:2, Marbre
chisel:marble1:3, Marbre
chisel:marble1:4, Marbre
chisel:marble1:5, Marbre
chisel:marble1:6, Marbre
chisel:marble1:7, Marbre
chisel:marble1:8, Marbre
chisel:marble1:9, Marbre
chisel:marble2:0, Marbre
chisel:marble2:1, Marbre
chisel:marble2:2, Marbre
chisel:marble2:3, Marbre
chisel:marble2:4, Marbre
chisel:marble2:5, Marbre
chisel:marble2:6, Marbre
chisel:marble2:7, Marbre
chisel:marblepillar:0, Pilier de marbre
chisel:marblepillar:1, Pilier de marbre
chisel:marblepillar:2, Pilier de marbre
chisel:marblepillar:3, Pilier de marbre
chisel:marblepillar:4, Pilier de marbre
chisel:marblepillar:5, Pilier de marbre
chisel:marblepillar:6, Pilier de marbre
chisel:marblepillar:7, Pilier de marbre
chisel:marblepillar:8, Pilier de marbre
chisel:marblepillar:9, Pilier de marbre
chisel:marblepillar:10, Pilier de marbre
chisel:marblepillar:11, Pilier de marbre
chisel:marblepillar:12, Pilier de marbre
chisel:marblepillar:13, Pilier de marbre
chisel:marblepillar:14, Pilier de marbre
chisel:marblepillar:15, Pilier de marbre
chisel:netherbrick:0, Briques du Nether
chisel:netherbrick:1, Briques du Nether
chisel:netherbrick:2, Briques du Nether
chisel:netherbrick:3, Briques du Nether
chisel:netherbrick:4, Briques du Nether
chisel:netherbrick:5, Briques du Nether
chisel:netherbrick:6, Briques du Nether
chisel:netherbrick:7, Briques du Nether
chisel:netherbrick:8, Briques du Nether
chisel:netherbrick:9, Briques du Nether
chisel:netherbrick:10, Briques du Nether
chisel:netherbrick:11, Briques du Nether
chisel:netherbrick:12, Briques du Nether
chisel:netherbrick:13, Briques du Nether
chisel:netherbrick:14, Briques du Nether
chisel:netherbrick:15, Briques du Nether
chisel:netherrack:0, Netherrack
chisel:netherrack:1, Netherrack
chisel:netherrack:2, Netherrack
chisel:netherrack:3, Netherrack
chisel:netherrack:4, Netherrack
chisel:netherrack:5, Netherrack
chisel:netherrack:6, Netherrack
chisel:netherrack:7, Netherrack
chisel:netherrack:8, Netherrack
chisel:netherrack:9, Netherrack
chisel:netherrack:10, Netherrack
chisel:netherrack:11, Netherrack
chisel:netherrack:12, Netherrack
chisel:netherrack:13, Netherrack
chisel:blocknickel:0, Bloc de nickel
chisel:blocknickel:1, Bloc de nickel
chisel:blocknickel:2, Bloc de nickel
chisel:blocknickel:3, Bloc de nickel
chisel:blocknickel:4, Bloc de nickel
chisel:blocknickel:5, Bloc de nickel
chisel:blocknickel:6, Bloc de nickel
chisel:obsidian:0, Obsidienne
chisel:obsidian:1, Obsidienne
chisel:obsidian:2, Obsidienne
chisel:obsidian:3, Obsidienne
chisel:obsidian:4, Obsidienne
chisel:obsidian:5, Obsidienne
chisel:obsidian:6, Obsidienne
chisel:obsidian:7, Obsidienne
chisel:obsidian:8, Obsidienne
chisel:obsidian:9, Obsidienne
chisel:obsidian:10, Obsidienne
chisel:obsidian:11, Obsidienne
chisel:obsidian:12, Obsidienne
chisel:obsidian:13, Obsidienne
chisel:obsidian:14, Obsidienne
chisel:paper:0, Mur en papier
chisel:paper:1, Mur en papier
chisel:paper:2, Mur en papier
chisel:paper:3, Mur en papier
chisel:paper:4, Mur en papier
chisel:paper:5, Mur en papier
chisel:paper:6, Mur en papier
chisel:paper:7, Mur en papier
chisel:paper:8, Mur en papier
chisel:planks-oak:0, Planches de chêne
chisel:planks-oak:1, Planches de chêne
chisel:planks-oak:2, Planches de chêne
chisel:planks-oak:3, Planches de chêne
chisel:planks-oak:4, Planches de chêne
chisel:planks-oak:5, Planches de chêne
chisel:planks-oak:6, Planches de chêne
chisel:planks-oak:7, Planches de chêne
chisel:planks-oak:8, Planches de chêne
chisel:planks-oak:9, Planches de chêne
chisel:planks-oak:10, Planches de chêne
chisel:planks-oak:11, Planches de chêne
chisel:planks-oak:12, Planches de chêne
chisel:planks-oak:13, Planches de chêne
chisel:planks-oak:14, Planches de chêne
chisel:planks-spruce:0, Planches de sapin
chisel:planks-spruce:1, Planches de sapin
chisel:planks-spruce:2, Planches de sapin
chisel:planks-spruce:3, Planches de sapin
chisel:planks-spruce:4, Planches de sapin
chisel:planks-spruce:5, Planches de sapin
chisel:planks-spruce:6, Planches de sapin
chisel:planks-spruce:7, Planches de sapin
chisel:planks-spruce:8, Planches de sapin
chisel:planks-spruce:9, Planches de sapin
chisel:planks-spruce:10, Planches de sapin
chisel:planks-spruce:11, Planches de sapin
chisel:planks-spruce:12, Planches de sapin
chisel:planks-spruce:13, Planches de sapin
chisel:planks-spruce:14, Planches de sapin
chisel:planks-birch:0, Planches de bouleau
chisel:planks-birch:1, Planches de bouleau
chisel:planks-birch:2, Planches de bouleau
chisel:planks-birch:3, Planches de bouleau
chisel:planks-birch:4, Planches de bouleau
chisel:planks-birch:5, Planches de bouleau
chisel:planks-birch:6, Planches de bouleau
chisel:planks-birch:7, Planches de bouleau
chisel:planks-birch:8, Planches de bouleau
chisel:planks-birch:9, Planches de bouleau
chisel:planks-birch:10, Planches de bouleau
chisel:planks-birch:11, Planches de bouleau
chisel:planks-birch:12, Planches de bouleau
chisel:planks-birch:13, Planches de bouleau
chisel:planks-birch:14, Planches de bouleau
chisel:planks-jungle:0, Planches d'acajou
chisel:planks-jungle:1, Planches d'acajou
chisel:planks-jungle:2, Planches d'acajou
chisel:planks-jungle:3, Planches d'acajou
chisel:planks-jungle:4, Planches d'acajou
chisel:planks-jungle:5, Planches d'acajou
chisel:planks-jungle:6, Planches d'acajou
chisel:planks-jungle:7, Planches d'acajou
chisel:planks-jungle:8, Planches d'acajou
chisel:planks-jungle:9, Planches d'acajou
chisel:planks-jungle:10, Planches d'acajou
chisel:planks-jungle:11, Planches d'acajou
chisel:planks-jungle:12, Planches d'acajou
chisel:planks-jungle:13, Planches d'acajou
chisel:planks-jungle:14, Planches d'acajou
chisel:planks-acacia:0, Planches d'acacia
chisel:planks-acacia:1, Planches d'acacia
chisel:planks-acacia:2, Planches d'acacia
chisel:planks-acacia:3, Planches d'acacia
chisel:planks-acacia:4, Planches d'acacia
chisel:planks-acacia:5, Planches d'acacia
chisel:planks-acacia:6, Planches d'acacia
chisel:planks-acacia:7, Planches d'acacia
chisel:planks-acacia:8, Planches d'acacia
chisel:planks-acacia:9, Planches d'acacia
chisel:planks-acacia:10, Planches d'acacia
chisel:planks-acacia:11, Planches d'acacia
chisel:planks-acacia:12, Planches d'acacia
chisel:planks-acacia:13, Planches d'acacia
chisel:planks-acacia:14, Planches d'acacia
chisel:planks-dark-oak:0, Planches de chêne noir
chisel:planks-dark-oak:1, Planches de chêne noir
chisel:planks-dark-oak:2, Planches de chêne noir
chisel:planks-dark-oak:3, Planches de chêne noir
chisel:planks-dark-oak:4, Planches de chêne noir
chisel:planks-dark-oak:5, Planches de chêne noir
chisel:planks-dark-oak:6, Planches de chêne noir
chisel:planks-dark-oak:7, Planches de chêne noir
chisel:planks-dark-oak:8, Planches de chêne noir
chisel:planks-dark-oak:9, Planches de chêne noir
chisel:planks-dark-oak:10, Planches de chêne noir
chisel:planks-dark-oak:11, Planches de chêne noir
chisel:planks-dark-oak:12, Planches de chêne noir
chisel:planks-dark-oak:13, Planches de chêne noir
chisel:planks-dark-oak:14, Planches de chêne noir
chisel:blockplatinum:0, Bloc de platine
chisel:blockplatinum:1, Bloc de platine
chisel:blockplatinum:2, Bloc de platine
chisel:blockplatinum:3, Bloc de platine
chisel:blockplatinum:4, Bloc de platine
chisel:blockplatinum:5, Bloc de platine
chisel:blockplatinum:6, Bloc de platine
chisel:prismarine:0, Prismarine
chisel:prismarine:1, Prismarine
chisel:prismarine:2, Prismarine
chisel:prismarine:3, Prismarine
chisel:prismarine:4, Prismarine
chisel:prismarine:5, Prismarine
chisel:prismarine:6, Prismarine
chisel:prismarine:7, Prismarine
chisel:prismarine:8, Prismarine
chisel:prismarine:9, Prismarine
chisel:prismarine:10, Prismarine
chisel:prismarine:11, Prismarine
chisel:prismarine:12, Prismarine
chisel:prismarine:13, Prismarine
chisel:prismarine:14, Prismarine
chisel:prismarine:15, Prismarine
chisel:prismarine1:0, Prismarine
chisel:prismarine1:1, Prismarine
chisel:prismarine1:2, Prismarine
chisel:prismarine1:3, Prismarine
chisel:prismarine1:4, Prismarine
chisel:prismarine1:5, Prismarine
chisel:prismarine1:6, Prismarine
chisel:prismarine1:7, Prismarine
chisel:prismarine1:8, Prismarine
chisel:prismarine1:9, Prismarine
chisel:prismarine2:0, Prismarine
chisel:prismarine2:1, Prismarine
chisel:prismarine2:2, Prismarine
chisel:prismarine2:3, Prismarine
chisel:prismarine2:4, Prismarine
chisel:prismarine2:5, Prismarine
chisel:quartz:0, Bloc de quartz
chisel:quartz:1, Bloc de quartz
chisel:quartz:2, Bloc de quartz
chisel:quartz:3, Bloc de quartz
chisel:quartz:4, Bloc de quartz
chisel:quartz:5, Bloc de quartz
chisel:quartz:6, Bloc de quartz
chisel:quartz:7, Bloc de quartz
chisel:quartz:8, Bloc de quartz
chisel:quartz:9, Bloc de quartz
chisel:quartz:10, Bloc de quartz
chisel:quartz:11, Bloc de quartz
chisel:quartz:12, Bloc de quartz
chisel:quartz:13, Bloc de quartz
chisel:quartz:14, Bloc de quartz
chisel:quartz:15, Bloc de quartz
chisel:quartz1:0, Bloc de quartz
chisel:quartz1:1, Bloc de quartz
chisel:quartz1:2, Bloc de quartz
chisel:quartz1:3, Bloc de quartz
chisel:quartz1:4, Bloc de quartz
chisel:quartz1:5, Bloc de quartz
chisel:quartz1:6, Bloc de quartz
chisel:quartz1:7, Bloc de quartz
chisel:quartz1:8, Bloc de quartz
chisel:quartz1:9, Bloc de quartz
chisel:quartz1:10, Bloc de quartz
chisel:quartz1:11, Bloc de quartz
chisel:quartz1:12, Bloc de quartz
chisel:quartz1:13, Bloc de quartz
chisel:quartz1:14, Bloc de quartz
chisel:quartz1:15, Bloc de quartz
chisel:redstone:0, Bloc de redstone
chisel:redstone:1, Bloc de redstone
chisel:redstone:2, Bloc de redstone
chisel:redstone:3, Bloc de redstone
chisel:redstone:4, Bloc de redstone
chisel:redstone:5, Bloc de redstone
chisel:redstone:6, Bloc de redstone
chisel:redstone:7, Bloc de redstone
chisel:redstone:8, Bloc de redstone
chisel:redstone:9, Bloc de redstone
chisel:redstone:10, Bloc de redstone
chisel:redstone:11, Bloc de redstone
chisel:redstone:12, Bloc de redstone
chisel:redstone:13, Bloc de redstone
chisel:redstone:14, Bloc de redstone
chisel:redstone:15, Bloc de redstone
chisel:redstone1:0, Bloc de redstone
chisel:redstone1:1, Bloc de redstone
chisel:redstone1:2, Bloc de redstone
chisel:redstone1:3, Bloc de redstone
chisel:redstone1:4, Bloc de redstone
chisel:redstone1:5, Bloc de redstone
chisel:redstone1:6, Bloc de redstone
chisel:redstone1:7, Bloc de redstone
chisel:redstone1:8, Bloc de redstone
chisel:redstone1:9, Bloc de redstone
chisel:redstone1:10, Bloc de redstone
chisel:redstone1:11, Bloc de redstone
chisel:sandstoneyellow:0, Grès
chisel:sandstoneyellow:1, Grès
chisel:sandstoneyellow:2, Grès
chisel:sandstoneyellow:3, Grès
chisel:sandstoneyellow:4, Grès
chisel:sandstoneyellow:5, Grès
chisel:sandstoneyellow:6, Grès
chisel:sandstoneyellow:7, Grès
chisel:sandstoneyellow:8, Grès
chisel:sandstoneyellow:9, Grès
chisel:sandstoneyellow:10, Grès
chisel:sandstoneyellow:11, Grès
chisel:sandstoneyellow:12, Grès
chisel:sandstoneyellow:13, Grès
chisel:sandstoneyellow:14, Grès
